State,State Code,US_Regions,Total_Deaths_2017,Prescription_Opioids_2017,Heroin_2017,Synthetic_Opioid_Overdose_2017,Other_Drugs_2017,Total_Deaths_2018,Prescription_Opioids_2018,Heroin_2018,Synthetic_Opioid_Overdose_2018,Other_Drugs_2018,Total_Deaths_2019,Prescription_Opioids_2019,Heroin_2019,Synthetic_Opioid_Overdose_2019,Other_Drugs_2019
Alabama,AL,South,835,209,209,209,208,775,194,194,194,193,768,192,192,192,192
Alaska,AK,West,147,51,36,36,24,110,38,29,22,21,132,47,44,21,20
Arizona,AZ,West,1532,414,334,334,450,1670,362,352,522,434,1907,364,271,796,476
Arkansas,AR,South,446,112,111,112,111,444,119,117,92,116,388,98,88,115,87
California,CA,West,4868,1169,715,715,2269,5348,1084,778,865,2621,6198,1073,964,1675,2486
Colorado,CO,West,1015,300,224,224,267,995,268,233,134,360,1079,258,215,255,351
Connecticut,CT,Northeast,1150,273,425,425,27,1350,231,338,767,14,1617,283,339,950,45
Delaware,DE,South,338,85,85,84,84,540,82,143,296,19,535,75,109,343,8
District of Columbia,DC,South,432,58,127,127,120,332,41,79,162,50,476,36,85,216,139
Florida,FL,South,5088,1272,707,1555,1554,4698,1282,689,2091,636,5268,1190,698,2837,543
Georgia,GA,South,1537,568,263,263,443,1404,440,299,349,316,1408,396,298,419,295
Hawaii,HI,West,203,40,76,10,77,213,33,60,60,60,242,26,72,72,72
Idaho,ID,West,236,59,59,59,59,250,75,29,28,118,265,81,38,32,114
Illinois,IL,Midwest,3050,623,1187,1187,53,3200,539,1050,1566,45,3289,545,978,1706,60
Indiana,IN,Midwest,1852,425,327,550,550,1629,370,311,713,235,1699,400,308,899,92
Iowa,IA,Midwest,341,104,61,61,115,287,64,37,80,106,352,60,45,102,145
Kansas,KS,Midwest,333,83,83,83,83,345,87,33,50,175,403,85,42,75,201
Kentucky,KY,South,1566,433,269,269,595,1315,315,140,744,116,1380,345,152,825,58
Louisiana,LA,South,1108,277,277,277,277,1140,285,285,285,285,1267,317,317,316,317
Maine,ME,Northeast,424,100,76,76,172,500,69,71,229,131,471,73,58,283,57
Maryland,MD,South,2247,711,522,522,492,2860,576,356,1825,103,2754,589,209,1917,39
Massachusetts,MA,Northeast,2168,321,466,466,915,3002,331,475,1806,390,2678,288,375,1861,154
Michigan,MI,Midwest,2694,633,783,783,495,2897,556,633,1531,177,2456,454,477,1458,67
Minnesota,MN,Midwest,733,195,111,111,316,636,136,93,202,205,792,143,106,309,234
Mississippi,MS,South,354,96,34,112,112,310,92,39,72,107,394,97,78,141,78
Missouri,MO,Midwest,1367,253,299,299,516,1610,265,351,868,126,1583,242,224,886,231
Montana,MT,West,119,29,30,30,30,125,26,22,39,38,143,33,27,41,42
Nebraska,NE,Midwest,152,38,38,38,38,138,41,35,26,36,161,39,48,27,47
Nevada,NV,West,676,276,94,94,212,688,235,108,85,260,647,189,122,114,222
New Hampshire,NH,Northeast,467,62,28,28,349,452,43,11,386,12,407,45,10,343,9
New Jersey,NJ,Northeast,2685,672,671,671,671,4123,517,1287,2219,100,3897,456,1007,2221,213
New Mexico,NM,West,493,171,144,144,34,537,176,130,105,126,599,179,182,149,89
New York,NY,Northeast,3921,1044,1356,1356,165,4445,998,1243,2195,9,4578,939,1145,2338,156
North Carolina,NC,South,2414,659,537,537,681,2467,489,619,1272,87,2456,420,586,1363,87
North Dakota,ND,Midwest,68,17,17,17,17,70,24,15,15,16,82,27,18,18,19
Ohio,OH,Midwest,5111,947,1000,1000,2164,4213,571,721,2783,138,4251,477,527,3117,130
Oklahoma,OK,South,775,251,61,61,402,716,172,84,79,381,645,133,75,81,356
Oregon,OR,West,530,154,124,124,128,547,151,154,97,145,615,127,149,95,244
Pennsylvania,PA,Northeast,5388,1347,1347,1347,1347,4415,1104,1104,1104,1103,4377,1095,1094,1095,1093
Rhode Island,RI,Northeast,320,99,14,14,193,317,85,10,213,9,307,63,21,203,20
South Carolina,SC,South,1008,345,153,153,357,1125,375,183,510,57,1127,351,197,568,11
South Dakota,SD,Midwest,73,19,18,18,18,57,14,14,15,14,86,21,21,22,22
Tennessee,TN,South,1776,644,311,311,510,1823,550,369,827,77,2089,515,380,1152,42
Texas,TX,South,2989,646,569,569,1205,3005,547,668,358,1432,3136,535,730,423,1448
Utah,UT,West,650,315,147,147,41,624,306,156,83,79,571,277,139,94,61
Vermont,VT,Northeast,134,40,41,41,12,250,27,68,106,49,189,29,40,100,20
Virginia,VA,South,1600,404,556,556,84,1789,326,532,852,79,1834,306,532,993,3
Washington,WA,West,1169,343,306,306,214,1164,301,328,221,314,1259,268,346,337,308
West Virginia,WV,South,974,304,244,244,182,1098,234,195,551,118,945,185,142,572,46
Wisconsin,WI,Midwest,1350,362,414,414,160,1200,301,327,506,66,1362,282,292,660,128
Wyoming,WY,West,69,31,12,13,13,66,27,13,13,13,79,28,17,17,17
